word,frequency
bicycle,1
kick,1
xung_phong,1
đỏ-xanh,1
thua,1
bóng_lộn,1
show,1
làm_khó,1
tả,1
khắc,1
lăn_xả,1
ngập,1
đưa_mắt,1
nước_màu,1
măng,1
đích_thực,1
thiên_đường,1
liều_lĩnh,1
cù,1
bước_sóng,1
bỗng_chốc,1
vua,1
bí_mật,1
bạc_màu,1
ào_ào,1
âm_thầm,1
mệt_mỏi,1
chao,1
trầm_tư,1
thả_sức,1
cỏ_cây,1
biểu_trưng,1
ranh_giới,1
đầu_tay,1
thất_vọng,1
mời_gọi,1
phân_cách,1
gắng,1
loại,1
hoa_văn,1
xong,1
tăm_tắp,1
thành_hình,1
vây,1
diễn_tả,1
bọt_biển,1
vùng_biển,1
huy_hoàng,1
du_dương,1
sóngnhảy,1
nở_rộ,1
hứng_thú,1
bạc,1
bão,1
kiến_tạo,1
vuốt,1
quặt,1
moment,1
qua_lại,1
ao,1
góp_mặt,1
lớn_lao,1
nép,1
hơi_nước,1
đơn_giản_hoá,1
chuyên_môn,1
xuất_trận,1
wearing,1
đông_lạnh,1
dạo,1
vuốt_ve,1
giải_thưởng,1
vừa_qua,1
môi_trường_yên_bình,1
hoà_nhã,1
tính_khí,1
chồm,1
thể_hiện_sinh,1
đùa_giỡn,1
diễn_tập,1
thông_qua,1
chuyên_gia,1
triển_lãm,1
tiến_triển,1
trường_bắn,1
khăn,1
che,1
cao_cấp,1
xuống_đường,1
mênh_mông,1
tầm_mắt,1
giải_thoát,1
sung_mãn,1
toàn_diện,1
chuyển,1
ngựa_chứng,1
hiệu,1
soạt,1
nhã,1
điển,1
câu_chuyện,1
crowd,1
óng_mượt,1
tham_dự,1
đoàn_tụ,1
tiệc,1
thượng_phong,1
thể,1
quấn,1
cyberbock,1
chiêu_thức,1
giao_chiến,1
bữa,1
hồi,1
tuyên_bố,1
tại_trận,1
can_thiệp,1
vội_vàng,1
tính_chất,1
hiển_thị,1
lấn_át,1
hợp,1
thấm,1
giảm_thiểu,1
thủ_pháp,1
chập_chờn,1
ven,1
tuyến,1
ăn_vận,1
rậm_rạp,1
tinh_gọn,1
chứa_đựng,1
chúi,1
thành_phố,1
đàn_ông,1
tâm_lý_chiến,1
lúc_nào,1
bất_cứ,1
tuyệt_diệu,1
lả_tả,1
goggles,1
vù_vù,1
giữa_chừng,1
trìu_mến,1
nghề,1
thử,1
phẳng_lặng,1
tay_ấn_tượng,1
water,1
phô_trương,1
sảnh,1
ngọc,1
vẫy_gọi,1
vẫy_vùng,1
toạc,1
xé,1
bạo_dạn,1
chốn,1
chuyên_tâm,1
hoàn_mỹ,1
dinh_dính,1
volleyball,1
thay_đổi,1
indoors,1
thủ_lĩnh,1
tia_sáng,1
nhạy_cảm,1
kinh_điển,1
gờm,1
xuôi_tay,1
kiến_thức,1
nổi_tiếng,1
sai_lầm,1
hoà_nhập,1
thế_lực,1
huyền_diệu,1
surfing,1
of,1
may,1
cô_giáo,1
mọc,1
lốc,1
ngăn,1
vòng_cung,1
phi_thân,1
phục,1
trò,1
cho_phép,1
bất_động,1
bạt_ngàn,1
băng_giá,1
vụt,1
băng_tuyết,1
học_hỏi,1
trần,1
thrill,1
crashing,1
spray,1
amidst,1
skillfully,1
maneuver,1
athletes,1
majestically,1
waves,1
dans,1
nhờ,1
tiêu_biểu,1
bèo,1
cất_cánh,1
bắp_chân,1
hình_thể,1
tỉ_số,1
hiệp,1
11,1
chiến_tranh_giành,1
tiếp_đón,1
ẩn,1
tiến_hành,1
shorts,1
thường_trực,1
cân_đối,1
vuột,1
rìa,1
cháy_bỏng,1
chí_mạng,1
tạo_dựng,1
đảo,1
đánh_quả,1
lao_động,1
ve,1
vận_chuyển,1
trở_lại,1
tết,1
định_vị,1
nội_lực,1
trophies,1
uniform,1
chĩa,1
thu_hồi,1
nâng_đỡ,1
backhand,1
điệu_đà,1
gân,1
miệng,1
ngậm,1
mô_tả,1
đánh_đôi,1
cầm_chắc,1
miếng,1
thí_sinh,1
ngoái,1
pool,1
trông,1
tỉnh_táo,1
tối_đa_hoá,1
thận_trọng,1
vị_thế,1
cao_thủ,1
into,1
quẩy,1
dive,1
powerful,1
makes,1
athlete,1
cap,1
swim,1
hạ_mình,1
mạnh_tay,1
đầu_ra,1
bố_trí,1
cát_vàng,1
nay,1
hào_quang,1
nóng_bức,1
phút,1
miệt_mài,1
vương_vãi,1
bụi_bặm,1
thuyền,1
chen_chúc,1
phí,1
quy_chuẩn,1
hình_mẫu,1
phân_thân,1
vinh_quang,1
nghiêm_nghị,1
white,1
tanktop,1
quản_lý,1
trào_dâng,1
nhạc_điệu,1
rắn_rỏi,1
bề_mặt_đất,1
dồn_dập,1
mũ_lưỡi_trai,1
mạng,1
đường_cao,1
nhẵn,1
tốp,1
khởi_điểm,1
dodging,1
thời_trang,1
nể,1
ngay_lập_tức,1
anh_chàng,1
mưa_nắng,1
vần_vũ,1
làm_nên,1
làm_chủ,1
náo_động,1
kệ,1
cau_có,1
nhoài,1
khắt_khe,1
tráng_lệ,1
infield,1
lửng_lơ,1
truyền,1
trội,1
cầu_vượt,1
bền_vững,1
săn_bắn,1
chệch,1
nhiệt,1
yêu_cầu,1
hẳn,1
nhảy_cẫng,1
nhà_trường,1
nhào,1
vận_động_viên_dương,1
tam_giác,1
cúp,1
trung_thành,1
đánh_bật,1
quy_tụ,1
bản_năng,1
trung,1
tuyển_tập,1
giạng,1
bản_nhạc,1
kỹ,1
lắp,1
lên_dây,1
phi_công,1
mũi,1
bảo_trợ,1
nhọn,1
kỳ_vọng,1
đường_ngắm,1
giấy_bóng,1
cung_tiêu,1
tập_hợp,1
thềm,1
chào_hỏi,1
củng_cố,1
giũ,1
thần_thánh,1
hoa,1
cầu_trường,1
khoả_lấp,1
kỹ_càng,1
spotlight,1
ra_hiệu,1
khiêu_khích,1
thọc,1
trừng,1
mực,1
đô_vật,1
ring,1
trách_nhiệm,1
định_đoạt,1
đổi,1
ẩn_chứa,1
hồi_tưởng,1
võ,1
thấm_đẫm,1
quang_cảnh,1
vang_dội,1
máu,1
chúng_ta,1
gã,1
quả_thực,1
sát_khí,1
cước,1
boxxer,1
quỵ,1
thất_bại,1
đau_đớn,1
lảo_đảo,1
tập_quyền_anh,1
sắc_lạnh,1
ghi_điểm_viên,1
đơn_sắc,1
tâm_sự,1
lén,1
tứ_kết,1
thân_thiết,1
xa_xăm,1
slam,1
thúc,1
giỏ,1
ấn,1
chèo_chống,1
nhượng_bộ,1
chống_cự,1
không_thể_nào,1
tươi_tốt,1
gửi,1
tình_trạng,1
vô_định,1
đô,1
đồng_quê,1
đường_biên,1
trơ,1
mong_manh,1
cây_gỗ,1
rao,1
thường_xuyên,1
choáng_ngợp,1
tém,1
tột_bậc,1
phiên,1
nhặt,1
hối_hả,1
cuộc_sống,1
mờ_mịt,1
ngoằn_ngoèo,1
lồi_lõm,1
dành,1
tín_đồ,1
ngoặt,1
độc_nhất,1
bất_lợi,1
đội_ngũ,1
nhoè,1
chăm_chút,1
gắt_gao,1
biker,1
cần_mẫn,1
chào_mừng,1
nhỏ_hẹp,1
xuôi,1
quyết_chí,1
lề_đường,1
thắt_lưng,1
đắt,1
ngắn_gọn,1
pedaling,1
lồng_lộng,1
hợp_tác,1
trung_tính,1
mặt_phẳng,1
mật_thiết,1
cẩn_trọng,1
nước_bọt,1
tác_chiến,1
so_găng,1
màn_kịch,1
kéo_theo,1
lùi,1
phần_nào,1
hàng_đầu,1
giằng_co,1
chạm_mặt,1
đấu_võ_sĩ,1
cao_thế,1
tràng,1
pháo,1
bước_ngoặt,1
nắm_đấm,1
lởm_chởm,1
thép,1
tổng_hợp,1
đứng_chân,1
ráo_riết,1
tưng_bừng,1
nhân_tố,1
mức,1
gan,1
mắt_cá,1
khuất_phục,1
chịu_đựng,1
tận,1
áp_đảo,1
kê,1
thế_này,1
tên_lửa,1
phục_kích,1
chớm,1
cao_điểm,1
xem_xét,1
vù,1
chủ_lực,1
nhẹ_tay,1
lướt_qua_mang_lại,1
nạp,1
tán_thành,1
ra_sức_lực,1
quần_soóc,1
trò_chơi,1
giới_thiệu,1
tank,1
hợp_lực,1
top,1
yên_ắng,1
hệ_thống,1
chênh_vênh,1
cây_cọ,1
sạch_sẽ,1
săn_đuổi,1
chân_tay,1
biến,1
lộng_lẫy,1
quyết_đấu,1
đề_cao,1
đảm_nhiệm,1
caro,1
tràn,1
hoà_nhịp,1
quang,1
đầu_tư,1
dậm,1
chững_chạc,1
chuyển_giao,1
quốc_tế,1
trái_tim,1
chém,1
phụ,1
hiểm,1
vành_đai,1
lưu_diễn,1
đọ,1
cung_cấp,1
dạn_dày,1
nhà_cầu,1
cao_đẹp,1
phán_đoán,1
lần_lượt,1
xếp_hàng,1
lát,1
đường_phố_đông_đúc,1
gồm,1
phông_nền,1
đáng_kể,1
xúc_giác,1
giản_dị,1
khiêu_vũ,1
sang_trọng,1
sau_cùng,1
oi_ả,1
tươi_rói,1
cố,1
dang,1
liều_mình,1
cơ_sở,1
thi_thố,1
học,1
cổ_tay,1
sốc,1
da_trời,1
kế_tiếp,1
hộ_vệ,1
kẹp,1
căn_bản,1
hình_thành,1
gỡng,1
mặt_cầu,1
mỡ,1
not,1
lưu_niệm,1
từ_từ,1
marathon,1
văn,1
bóng_tối,1
ưu,1
phân_tích,1
sát_thủ,1
xâm_nhập,1
ghế_ngồi,1
nhiệt_thành,1
trợ_lực,1
gian_nan,1
đặt_cược,1
chỉ_định,1
exciting,1
chạm_trán,1
athlê,1
hoá_thân,1
kính_râm,1
châu_á,1
chung,1
uống,1
mài_dũa,1
bẩn,1
khuôn_viên,1
tức_thì,1
pitcher,1
thủ_tự,1
dẫm,1
đổ_bộ,1
phẩm_chất,1
tiềm_năng,1
người_hùng,1
bừng_bừng,1
dịch_chuyển,1
tương_lai,1
đốt,1
cộng_đồng,1
nở,1
bãi_tập,1
inghiệt,1
quá_trình,1
bóng_mát,1
phiên_bản,1
tiến_công,1
nhát,1
lựa_chọn,1
môi_trường_yên_tĩnh,1
gian,1
bao_phủ,1
ném_đĩa,1
đĩa,1
đĩa_bay,1
mini,1
lịch_sự,1
sắt,1
khai_cuộc,1
sắc_thái,1
chớp_nhoáng,1
bunker,1
tột_đỉnh,1
fairway,1
cân_nhắc,1
bạn_bè,1
đánh_giá,1
phức_tạp,1
b,1
bất_lực,1
chưa,1
mặcl,1
giá_lạnh,1
ngược_lại,1
đảo_ngược,1
phấp_phới,1
lạc_quan,1
lạc,1
skier,1
bổ_trợ,1
phi_mã,1
kính_mát,1
tập_thể,1
cờ_trắng,1
ngưỡng_mộ,1
nỏ,1
shot,1
giòn_giã,1
nhiệm,1
driver,1
vị,1
phỏng,1
hông,1
rảo,1
khởi_sắc,1
xe_điện,1
chú_trọng,1
xa_xa,1
giải_pháp,1
vô_lăng,1
toà,1
nhà_chọc_trời,1
ghé,1
thăm,1
crouch,1
tinh_chỉnh,1
bốn,1
cờ_đỏ,1
backdrop,1
phượt,1
khâm_phục,1
phát_sinh,1
nhạc_cụ,1
âm_nhạc,1
luồn_lách,1
gốc,1
dao_động,1
múa,1
thiên_tài,1
thung_lũng,1
bão_tuyết,1
lấn_sân,1
lề,1
tiếp_diễn,1
lo_lắng,1
vội_vã,1
đàn,1
chuyển_hướng,1
tì,1
đè,1
cận_chiến,1
bóng_ném,1
chiếm_giữ,1
nổ,1
trơn,1
cgăng,1
ren,1
máu_lửa,1
mong_muốn,1
lừa,1
piano,1
lan_can,1
dáng_dấp,1
găm,1
lạ_mắt,1
ngát,1
tô,1
cổng,1
khoáng_đạt,1
phản_quang,1
toạ_độ,1
nhận_diện,1
đối_với,1
vô_số,1
tan,1
nhằn,1
tuyệt_chiêu,1
chân_thật,1
vễnh,1
thân_thể,1
chất_lỏng,1
khoan_khoái,1
nhè_nhẹ,1
xoay_chuyển,1
poles,1
ngổn_ngang,1
tận_dụng_lực,1
hoán_đổi,1
trượt_băng,1
phục_trang,1
phùng,1
trắng_muốt,1
phiến,1
lay_động,1
tít,1
chính,1
nối_đuôi,1
đá_cuội,1
gượng_nhẹ,1
đường_bộ,1
áo_dài,1
cành,1
chằng_chịt,1
tranh_đua,1
làm_quen,1
cơ_bản,1
tư_thế_hùng_dũng,1
zoom,1
trơn_tru,1
xa_lộ,1
ưu_tư,1
trăm,1
lốp,1
hình_tròn,1
đắm,1
cần_câu,1
kiêu_hùng,1
vũ_điệu,1
khô_cằn,1
cất_bước,1
công_thức,1
thoáng_qua_đem_lại,1
cỗ,1
bạch,1
tay_chơi,1
tĩnh,1
tàu_hoả,1
mặn_mà,1
ban,1
tập_thể_dục,1
gym,1
đẫm,1
công_phá,1
đường_biển,1
xe_tay,1
giải_khát,1
dạn_dĩ,1
sáng_qua,1
sửa_chữa,1
chuẩn_bị_lực,1
khoảng_không,1
bề,1
gồng,1
dù,1
đỗ,1
đất_đá,1
hiên_ngang,1
cây_cỏ,1
ngành,1
công_nghệ,1
ngoại_ô,1
mạch_lạc,1
đường_ray,1
bung,1
chiều_tối,1
gặp_gỡ,1
phi_ngựa,1
giỏi,1
túc_trực,1
tình_cảm,1
trao,1
sâu_sắc,1
bài_học,1
gương,1
thong_thả,1
điềm_đạm,1
đắm_chìm,1
ăn_mặc,1
sắc_sảo,1
êm_ái,1
phương_pháp,1
xe_ngựa,1
hôn,1
sinh_vật,1
dải,1
ống_quần,1
dễ_thương,1
điệu,1
lăn_tăn,1
dàn_trải,1
hoà_hợp,1
tài_nghệ,1
chỉnh_trang,1
lắc_lư,1
m,1
mane,1
đằng,1
cần_thiết,1
lễ,1
mãn_nguyện,1
ghim,1
lấp_ló,1
hoang,1
bùn_lầy,1
thúc_giục,1
thống_nhất,1
giấy,1
sùi,1
ảm_đạm,1
móng,1
canh,1
liên_hoàn,1
cao_bồi,1
ra_vẻ,1
thoáng,1
bộ_cánh,1
ngựa_chiến,1
thảo_nguyên,1
vùng_đất,1
mức_độ,1
tiêu_điểm,1
phi_thường,1
chỉ_dẫn,1
quan_hệ,1
co_giãn,1
thông_minh,1
âu_yếm,1
lộ_trình,1
tầm_vóc,1
chuyên_sâu,1
chấp_nhận,1
